County,State,COUNTY_STATE,2019 County Designation,2018 County Designation,Specialty,2019 Distance (miles),2019 Time (minutes),2018 Distance (miles),2018 Time (minutes),Reason for Change,Time change,Distance change
Aguas Buenas,PR,"Aguas Buenas, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Aibonito,PR,"Aibonito, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Anasco,PR,"Anasco, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Barranquitas,PR,"Barranquitas, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Cabo Rojo,PR,"Cabo Rojo, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Camuy,PR,"Camuy, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Cayey,PR,"Cayey, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Ceiba,PR,"Ceiba, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Ciales,PR,"Ciales, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Comerio,PR,"Comerio, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Corozal,PR,"Corozal, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Florida,PR,"Florida, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Guanica,PR,"Guanica, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Guayama,PR,"Guayama, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Guayanilla,PR,"Guayanilla, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Hatillo,PR,"Hatillo, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Isabela,PR,"Isabela, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Juana Diaz,PR,"Juana Diaz, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Lajas,PR,"Lajas, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Lares,PR,"Lares, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Luquillo,PR,"Luquillo, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Manati,PR,"Manati, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Maunabo,PR,"Maunabo, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Moca,PR,"Moca, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Morovis,PR,"Morovis, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Naguabo,PR,"Naguabo, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Orocovis,PR,"Orocovis, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Patillas,PR,"Patillas, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Penuelas,PR,"Penuelas, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Rincon,PR,"Rincon, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Sabana Grande,PR,"Sabana Grande, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
San German,PR,"San German, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
San Lorenzo,PR,"San Lorenzo, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
San Sebastian,PR,"San Sebastian, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Utuado,PR,"Utuado, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Villalba,PR,"Villalba, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Yabucoa,PR,"Yabucoa, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Yauco,PR,"Yauco, PR",Micro,Metro,Neurology,45,60,30,45,County Change,15,15
Anasco,PR,"Anasco, PR",Micro,Metro,Occupational Therapy,60,80,45,70,County Change,10,15
Camuy,PR,"Camuy, PR",Micro,Metro,Occupational Therapy,60,80,45,70,County Change,10,15
Hatillo,PR,"Hatillo, PR",Micro,Metro,Occupational Therapy,60,80,45,70,County Change,10,15
San Sebastian,PR,"San Sebastian, PR",Micro,Metro,Occupational Therapy,60,80,45,70,County Change,10,15
Aguas Buenas,PR,"Aguas Buenas, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Aibonito,PR,"Aibonito, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Anasco,PR,"Anasco, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Barranquitas,PR,"Barranquitas, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Cabo Rojo,PR,"Cabo Rojo, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Camuy,PR,"Camuy, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Cayey,PR,"Cayey, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Ceiba,PR,"Ceiba, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Ciales,PR,"Ciales, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Comerio,PR,"Comerio, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Corozal,PR,"Corozal, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Florida,PR,"Florida, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Guanica,PR,"Guanica, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Guayama,PR,"Guayama, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Guayanilla,PR,"Guayanilla, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Hatillo,PR,"Hatillo, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Isabela,PR,"Isabela, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Juana Diaz,PR,"Juana Diaz, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Lajas,PR,"Lajas, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Lares,PR,"Lares, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Luquillo,PR,"Luquillo, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Manati,PR,"Manati, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Maunabo,PR,"Maunabo, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Moca,PR,"Moca, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Morovis,PR,"Morovis, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Naguabo,PR,"Naguabo, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Orocovis,PR,"Orocovis, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Patillas,PR,"Patillas, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Penuelas,PR,"Penuelas, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Rincon,PR,"Rincon, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Sabana Grande,PR,"Sabana Grande, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
San German,PR,"San German, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
San Lorenzo,PR,"San Lorenzo, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
San Sebastian,PR,"San Sebastian, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Utuado,PR,"Utuado, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Villalba,PR,"Villalba, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Yabucoa,PR,"Yabucoa, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Yauco,PR,"Yauco, PR",Micro,Metro,"Oncology - Medical, Surgical",45,60,30,45,County Change,15,15
Aguas Buenas,PR,"Aguas Buenas, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Aibonito,PR,"Aibonito, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Anasco,PR,"Anasco, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Barranquitas,PR,"Barranquitas, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Cabo Rojo,PR,"Cabo Rojo, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Camuy,PR,"Camuy, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Cayey,PR,"Cayey, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Ceiba,PR,"Ceiba, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Ciales,PR,"Ciales, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Comerio,PR,"Comerio, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Corozal,PR,"Corozal, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Florida,PR,"Florida, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Guanica,PR,"Guanica, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Guayama,PR,"Guayama, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Guayanilla,PR,"Guayanilla, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Hatillo,PR,"Hatillo, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Isabela,PR,"Isabela, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Juana Diaz,PR,"Juana Diaz, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Lajas,PR,"Lajas, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Lares,PR,"Lares, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Luquillo,PR,"Luquillo, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Manati,PR,"Manati, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Maunabo,PR,"Maunabo, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Moca,PR,"Moca, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Morovis,PR,"Morovis, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Naguabo,PR,"Naguabo, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Orocovis,PR,"Orocovis, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Patillas,PR,"Patillas, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Penuelas,PR,"Penuelas, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Rincon,PR,"Rincon, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Sabana Grande,PR,"Sabana Grande, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
San German,PR,"San German, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
San Lorenzo,PR,"San Lorenzo, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
San Sebastian,PR,"San Sebastian, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Utuado,PR,"Utuado, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Villalba,PR,"Villalba, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Yabucoa,PR,"Yabucoa, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Yauco,PR,"Yauco, PR",Micro,Metro,Ophthalmology,35,50,20,30,County Change,20,15
Aguas Buenas,PR,"Aguas Buenas, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Aibonito,PR,"Aibonito, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Anasco,PR,"Anasco, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Barranquitas,PR,"Barranquitas, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Cabo Rojo,PR,"Cabo Rojo, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Camuy,PR,"Camuy, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Cayey,PR,"Cayey, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Ceiba,PR,"Ceiba, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Ciales,PR,"Ciales, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Comerio,PR,"Comerio, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Corozal,PR,"Corozal, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Florida,PR,"Florida, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Guanica,PR,"Guanica, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Guayama,PR,"Guayama, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Guayanilla,PR,"Guayanilla, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Hatillo,PR,"Hatillo, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Isabela,PR,"Isabela, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Juana Diaz,PR,"Juana Diaz, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Lajas,PR,"Lajas, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Lares,PR,"Lares, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Luquillo,PR,"Luquillo, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Manati,PR,"Manati, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Maunabo,PR,"Maunabo, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Moca,PR,"Moca, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Morovis,PR,"Morovis, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Naguabo,PR,"Naguabo, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Orocovis,PR,"Orocovis, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Patillas,PR,"Patillas, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Penuelas,PR,"Penuelas, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Rincon,PR,"Rincon, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Sabana Grande,PR,"Sabana Grande, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
San German,PR,"San German, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
San Lorenzo,PR,"San Lorenzo, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
San Sebastian,PR,"San Sebastian, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Utuado,PR,"Utuado, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Villalba,PR,"Villalba, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Yabucoa,PR,"Yabucoa, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Yauco,PR,"Yauco, PR",Micro,Metro,Orthopedic Surgery,35,50,20,30,County Change,20,15
Aguas Buenas,PR,"Aguas Buenas, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Aibonito,PR,"Aibonito, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Anasco,PR,"Anasco, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Barranquitas,PR,"Barranquitas, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Cabo Rojo,PR,"Cabo Rojo, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Camuy,PR,"Camuy, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Cayey,PR,"Cayey, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Ceiba,PR,"Ceiba, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Ciales,PR,"Ciales, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Comerio,PR,"Comerio, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Corozal,PR,"Corozal, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Florida,PR,"Florida, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Guanica,PR,"Guanica, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Guayama,PR,"Guayama, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Guayanilla,PR,"Guayanilla, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Hatillo,PR,"Hatillo, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Isabela,PR,"Isabela, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Juana Diaz,PR,"Juana Diaz, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Lajas,PR,"Lajas, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Lares,PR,"Lares, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Luquillo,PR,"Luquillo, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Manati,PR,"Manati, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Maunabo,PR,"Maunabo, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Moca,PR,"Moca, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Morovis,PR,"Morovis, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Naguabo,PR,"Naguabo, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Orocovis,PR,"Orocovis, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Patillas,PR,"Patillas, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Penuelas,PR,"Penuelas, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Rincon,PR,"Rincon, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Sabana Grande,PR,"Sabana Grande, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
San German,PR,"San German, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
San Lorenzo,PR,"San Lorenzo, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
San Sebastian,PR,"San Sebastian, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Utuado,PR,"Utuado, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Villalba,PR,"Villalba, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Yabucoa,PR,"Yabucoa, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Yauco,PR,"Yauco, PR",Micro,Metro,Podiatry,45,60,30,45,County Change,15,15
Aguas Buenas,PR,"Aguas Buenas, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Aibonito,PR,"Aibonito, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Anasco,PR,"Anasco, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Barranquitas,PR,"Barranquitas, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Cabo Rojo,PR,"Cabo Rojo, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Camuy,PR,"Camuy, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Cayey,PR,"Cayey, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Ceiba,PR,"Ceiba, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Ciales,PR,"Ciales, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Comerio,PR,"Comerio, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Corozal,PR,"Corozal, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Florida,PR,"Florida, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Guanica,PR,"Guanica, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Guayama,PR,"Guayama, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Guayanilla,PR,"Guayanilla, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Hatillo,PR,"Hatillo, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Isabela,PR,"Isabela, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Juana Diaz,PR,"Juana Diaz, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Lajas,PR,"Lajas, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Lares,PR,"Lares, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Luquillo,PR,"Luquillo, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Manati,PR,"Manati, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Maunabo,PR,"Maunabo, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Moca,PR,"Moca, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Morovis,PR,"Morovis, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Naguabo,PR,"Naguabo, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Orocovis,PR,"Orocovis, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Patillas,PR,"Patillas, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Penuelas,PR,"Penuelas, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Rincon,PR,"Rincon, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Sabana Grande,PR,"Sabana Grande, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
San German,PR,"San German, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
San Lorenzo,PR,"San Lorenzo, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
San Sebastian,PR,"San Sebastian, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Utuado,PR,"Utuado, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Villalba,PR,"Villalba, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Yabucoa,PR,"Yabucoa, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Yauco,PR,"Yauco, PR",Micro,Metro,Psychiatry,45,60,30,45,County Change,15,15
Aguas Buenas,PR,"Aguas Buenas, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Aibonito,PR,"Aibonito, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Anasco,PR,"Anasco, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Barranquitas,PR,"Barranquitas, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Cabo Rojo,PR,"Cabo Rojo, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Camuy,PR,"Camuy, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Cayey,PR,"Cayey, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Ceiba,PR,"Ceiba, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Ciales,PR,"Ciales, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Comerio,PR,"Comerio, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Corozal,PR,"Corozal, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Florida,PR,"Florida, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Guanica,PR,"Guanica, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Guayama,PR,"Guayama, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Guayanilla,PR,"Guayanilla, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Hatillo,PR,"Hatillo, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Isabela,PR,"Isabela, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Juana Diaz,PR,"Juana Diaz, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Lajas,PR,"Lajas, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Lares,PR,"Lares, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Luquillo,PR,"Luquillo, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Manati,PR,"Manati, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Maunabo,PR,"Maunabo, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Moca,PR,"Moca, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Morovis,PR,"Morovis, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Naguabo,PR,"Naguabo, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Orocovis,PR,"Orocovis, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Patillas,PR,"Patillas, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Penuelas,PR,"Penuelas, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Rincon,PR,"Rincon, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Sabana Grande,PR,"Sabana Grande, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
San German,PR,"San German, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
San Lorenzo,PR,"San Lorenzo, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
San Sebastian,PR,"San Sebastian, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Utuado,PR,"Utuado, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Villalba,PR,"Villalba, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Yabucoa,PR,"Yabucoa, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Yauco,PR,"Yauco, PR",Micro,Metro,Pulmonology,45,60,30,45,County Change,15,15
Guanica,PR,"Guanica, PR",Micro,Metro,Speech Therapy,60,80,45,70,County Change,10,15
Juana Diaz,PR,"Juana Diaz, PR",Micro,Metro,Speech Therapy,60,80,45,70,County Change,10,15
Sabana Grande,PR,"Sabana Grande, PR",Micro,Metro,Speech Therapy,60,80,45,70,County Change,10,15
